q_a,label
"@yousufpoosuf @RKingLive2Dance @izrinhariri But congratulations, you do get to put an X on the bullshit bing card. http://t.co/EYvQeNntHH",1
"@ibnHlophe @eeviewonders @CTFleaMarkets Your text is a fraud brought by a pedophile, slave trader, rapist, murderer, bigot, sexist, robber.",1
@Muhammad1988x The real piss drinkers are the Muslims.  Here is the proof. http://t.co/eD031qpTR9,1
Drasko they didn't cook half a bird you idiot #mkr,1
It's unbelievable the way that journalists fall all over themselves to make excuses for the barbarity of Islam. Not one has read the Quran.,1
"@AalawOfficial According to your own canon, your prophet is a pedophile, murderer, rapist, caravan robber, slave trader, sexist and bigot.",1
@KhaledHamaki This is a more complete picture of the bigotry of Islam than your selective lie. http://t.co/raGDag6tmL,1
"@SevilZadeh Mohammed led 17 major military expeditions.  Most offensive.  He raped, robbed, murdered, lied, slaved, and was a pedophile.",1
"@Abu_Baraa1 Dumb Muslims complain about freedom of speech and support blasphemy laws at the same time. What a disgusting, inhuman religion.",1
@comradejotaro @brassidio You didn't recognize the irony of me using your method because you are an ignorant Muslim.,1
"@Iz_abdul By now no one buys that ""few individuals"" lie any more.  Most Muslims are extremists. http://t.co/kfxzXKFqsO",1
@Iz_abdul Allah's words are filth and hatred and phony. http://t.co/E4yVziJyqk,1
"@obinoavey ""dens of apostates""? Murder for the sake of religion.  Could you get any more stupid and inhuman?",1
@harun_yahya You and your religious brothers are the real filth of the earth. PKK rescued Yezidis from your animal friends.,1
"@harun_yahya Islam declared war on all humanity 1400 years ago and this piece of dog manure, Oktar, is talking about others intimidation.",1
"@Setarehgan @Maryam_Rajavi This is the big lie about #Islam.  It doesn't advocate tolerance and coexistence, it advocates hatred and murder.",1
@Salon @TheMuslimGuy Do the trolls at Salon know that the prophet Mohammed was a caravan robber?  They don't. #Islam,1
"@Salon @TheMuslimGuy Do the trolls at Salon know that Mohammed led 17 major military expedition, most of them offensive? No chance. #Islam",1
@Salon @TheMuslimGuy Objecting to this is what the PC morons of Salon call racism. http://t.co/ZjU8NqChiF,1
@Salon @TheMuslimGuy Objecting to this is what the PC morons of Salon call racism. #Islam http://t.co/JsytuXHXTz,1
@Salon @TheMuslimGuy Objecting to this is what the PC morons of Salon call racism. http://t.co/pEPfxlLKfu,1
@Salon @TheMuslimGuy Do you think that the cretins at Salon understand Mohammed's declaration of war on humanity? No http://t.co/CvhAFFBFAq,1
@Salon @TheMuslimGuy Do you think that the mindless little bozos at Salon understand that  Quran is full of bigotry. http://t.co/3JZwrONpWX,1
@IAmThe1Teacher @IronmanL1 @stevecorrales80 It's utterly stupid to  tolerate the intolerance of Islam.,1
@IAmThe1Teacher You can preach coexistence all you want.  To Islamist you are just a useful idiot.,1
"@SumbelinaZ @SallyTreadwell @Lg4Lg @IronmanL1 @Hatewatch This is debate about the vile religion of Islam, not about one country, microbrain.",1
@NNdabbour64 These are all excuses to hide the fact that you are following an evil and inhuman religion.,1
@NNdabbour64 And all the hatred was started by your pedophile prophet.  Now you are finally getting it back. http://t.co/L8VgSNBDQX,1
"@NNdabbour64 I know the truth. It is 280 million citizens of the earth murdered by scum shouting ""Allahu Akbar"".",1
@NNdabbour64 And don't talk to me about hatred when you follow the vulgar Quran and Hadiths that are full of hatred.,1
"@NNdabbour64 You have to be an idiot to think that you can follow an ideology of murder, imperialism, hatred and have people like you for it",1
RT @PeterTownsend7: #islam #isis Allah the Mutilator. Can you feel the 'peace' yet?  http://t.co/aF1qEjApdg http://t.co/UFW1z4dE60,1
"@KamelNasrEldien True, no other ideology is as vile, murderous, backwards and stupid as Islam.",1
@waddup247 Because the Muslims are mostly just as crazy. http://t.co/wOc5ONv7Nh,1
@yuskan0723 @essel1 You mean hapless genocidal Palestinian Islamolunatics that are determined to erase Israel from the map?,1
@yuskan0723 Here is what the scumbag Muslims do with children.  And then they use them for propaganda. http://t.co/JG5MeWh1ur,1
@yuskan0723 Here is how Muslims treat non Muslims. So fuck the genocidal Palestinians. http://t.co/nRozNv2fH8,1
@yuskan0723 You can't get any sicker than the Muslim animals following the instructions of their pedophile prophet. http://t.co/oAqQJFf1Pb,1
"@yuskan0723 Yes, all of the land the Muslims have they got by butchering the inhabitants. And they are depraved psychopaths.",1
"@yuskan0723 The Jews are the population that has been ethnically cleansed by the Muslims, microbrain. Find me some Jews in Saudi.",1
@yuskan0723 The filthy Palestinians have attacked and murdered Jewish children in their schools in the past.  So fuck Palestinians.,1
"@ShamiAnalyst No one ask for your pedophile serving propaganda, swine.",1
@DavidHarvilicz @AFP More left wing scum caving in to the violence of Islam.,1
"@AKasap07 Mullah Oktar is an anti Science, Kurd hating, Islamolunatic.",1
"@PoliticalAnt @Politics_PR @FoxNews Look at the data, dipwad, 1/3 think that people who leave Islam should be killed. http://t.co/MfTOt9ijtY",1
"@PoliticalAnt Look at the data dipwad, 2/3 want sharia law, which denies all rights to women and non Muslims. http://t.co/7QupIMBaN7",1
@okieatheist @EWErickson You babble like a moron while Muslims are throwing gays off buildings.,1
@okieatheist @EWErickson The idea that no go zones are a right wing boogie man is stupid.  No go zones are real.,1
"@Lithobolos @PoliticalAnt @ZaibatsuNews Your mantra about ""a few"" is stupid.  This proves it. http://t.co/3KyD0zp8yK",1
"@Amyloukingery Love it when these idiot national leaders claim that terrorism has nothing to do with Islam, and  not one has read the Quran.",1
RT @WalidShoebat: Muslim BIGOT wanted by INTERPOL and protected by U.S. Ally wants UN to Criminalize Criticism of Islam Internationally,1
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
#mkr,0
RT @k_yah: Don't you dare put in the water works Kat!! You're evil!! #cuntandandre #MKR,1
Kat the #CuntFaceBitch #mkr lives to fight on. http://t.co/ngtgO2U85R,1
KAT IS A FUCKING CUNT #mkr,1
Quit bitching - if Kat and Andre had scored a 5 the blonde fuckwits would still have gone. Check out the other teams scoring... #mkr,1
Someone get Kat a straight Jacket!! The bitch needs some time in a padded room!! #mkr,1
"This bitch has no right to talk about fair and has no right to celebrate, I hope that they crash and burn they don't deserve to be here #mkr",1
Kat and Andre shouldn't be there they suck dick holes. The moles win my vote with the burnt butter icecream #mkr,1
"RT @daniel_kaye: Kat, a massive c*nt. The biggest ever on #mkr #cuntandandre",1
#mkr #katIsAWanker http://t.co/of1oz9A52K,1
